Date,Country
12/31/2019,China
1/13/2020,Thailand
1/15/2020,Japan
1/20/2020,South Korea
1/21/2020,Taiwan
1/21/2020,United States
1/24/2020,Singapore
1/24/2020,Vietnam
1/25/2020,Australia
1/25/2020,France
1/25/2020,Malaysia
1/25/2020,Nepal
1/26/2020,Canada
1/27/2020,United Arab Emirates
1/28/2020,Cambodia
1/28/2020,Germany
1/28/2020,Sri Lanka
1/30/2020,Finland
1/30/2020,India
1/30/2020,Philippines
1/31/2020,Italy
1/31/2020,United Kingdom
2/1/2020,Russia
2/1/2020,Spain
2/1/2020,Sweden
2/4/2020,Belgium
2/15/2020,Egypt
2/20/2020,Iran
2/22/2020,Israel
2/22/2020,Lebanon
2/24/2020,Bahrain
2/24/2020,Kuwait
2/25/2020,Afghanistan
2/25/2020,Iraq
2/25/2020,Oman
2/26/2020,Algeria
2/26/2020,Austria
2/26/2020,Brazil
2/26/2020,Croatia
2/26/2020,Switzerland
2/27/2020,Denmark
2/27/2020,Georgia
2/27/2020,Greece
2/27/2020,Macedonia
2/27/2020,Norway
2/27/2020,Pakistan
2/27/2020,Romania
2/28/2020,Belarus
2/28/2020,Estonia
2/28/2020,Lithuania
2/28/2020,Netherlands
2/28/2020,New Zealand
2/28/2020,Nigeria
2/28/2020,San Marino
2/29/2020,Azerbaijan
2/29/2020,Iceland
2/29/2020,Mexico
2/29/2020,Monaco
3/1/2020,Armenia
3/1/2020,Ecuador
3/1/2020,Ireland
3/1/2020,Luxembourg
3/1/2020,Qatar
3/2/2020,Czech Republic
3/2/2020,Dominican Republic
3/2/2020,Indonesia
3/3/2020,Andorra
3/3/2020,Jordan
3/3/2020,Latvia
3/3/2020,Morocco
3/3/2020,Portugal
3/3/2020,Saudi Arabia
3/3/2020,Senegal
3/3/2020,Sint Maarten
3/3/2020,Tunisia
3/4/2020,Argentina
3/4/2020,Chile
3/4/2020,Poland
3/4/2020,Ukraine
3/5/2020,Hungary
3/5/2020,Liechtenstein
3/5/2020,Slovenia
3/6/2020,Bhutan
3/6/2020,Bosnia and Herzegovina
3/6/2020,Palestine
3/6/2020,South Africa
3/7/2020,Cameroon
3/7/2020,Colombia
3/7/2020,Costa Rica
3/7/2020,Holy See
3/7/2020,Peru
3/7/2020,Serbia
3/7/2020,Slovakia
3/7/2020,Togo
3/8/2020,Bulgaria
3/8/2020,Maldives
3/8/2020,Malta
3/8/2020,Moldova
3/8/2020,Paraguay
3/9/2020,Albania
3/9/2020,Bangladesh
3/10/2020,Brunei Darussalam
3/10/2020,Cyprus
3/10/2020,Mongolia
3/10/2020,Panama
3/11/2020,Burkina Faso
3/11/2020,DR Congo
3/12/2020,Bolivia
3/12/2020,Cote d'Ivoire
3/12/2020,Cuba
3/12/2020,Honduras
3/12/2020,Jamaica
3/12/2020,Turkey
3/13/2020,Aruba
3/13/2020,Cura??ao
3/13/2020,Gabon
3/13/2020,Ghana
3/13/2020,Guyana
3/13/2020,St. Vincent and the Grenadines
3/13/2020,Trinidad and Tobago
3/14/2020,Ethiopia
3/14/2020,Guinea
3/14/2020,Kenya
3/14/2020,Sudan
3/15/2020,Antigua and Barbuda
3/15/2020,Equatorial Guinea
3/15/2020,Eswatini
3/15/2020,Guatemala
3/15/2020,Kazakhstan
3/15/2020,Mauritania
3/15/2020,Namibia
3/15/2020,Rwanda
3/15/2020,Seychelles
3/15/2020,St. Lucia
3/15/2020,Suriname
3/15/2020,Uruguay
3/15/2020,Venezuela
3/16/2020,Bahamas
3/16/2020,Central African Republic
3/16/2020,Congo Republic
3/16/2020,Kosovo
3/16/2020,Uzbekistan
3/17/2020,Benin
3/17/2020,Liberia
3/17/2020,Somalia
3/17/2020,Tanzania
3/18/2020,Barbados
3/18/2020,Gambia
3/18/2020,Montenegro
3/19/2020,Djibouti
3/19/2020,El Salvador
3/19/2020,French Polynesia
3/19/2020,Guam
3/19/2020,Kyrgyz Republic
3/19/2020,Nicaragua
3/19/2020,Zambia
3/20/2020,Bermuda
3/20/2020,Cayman Islands
3/20/2020,Chad
3/20/2020,Faeroe Islands
3/20/2020,Fiji
3/20/2020,Gibraltar
3/20/2020,Greenland
3/20/2020,Guernsey
3/20/2020,Haiti
3/20/2020,Jersey
3/20/2020,Mauritius
3/21/2020,Cabo Verde
3/21/2020,Isle of Man
3/21/2020,Madagascar
3/21/2020,Montserrat
3/21/2020,New Caledonia
3/21/2020,Niger
3/21/2020,Papua New Guinea
3/21/2020,Zimbabwe
3/22/2020,Angola
3/22/2020,Eritrea
3/22/2020,Timor-Leste
3/22/2020,Uganda
3/23/2020,Dominica
3/23/2020,Grenada
3/23/2020,Mozambique
3/23/2020,Syria
3/24/2020,Belize
3/24/2020,Myanmar
3/24/2020,United States Virgin Islands
3/25/2020,Laos
3/25/2020,Libya
3/25/2020,Turks and Caicos Islands
3/26/2020,Mali
3/26/2020,St. Kitts and Nevis
3/27/2020,British Virgin Islands
3/27/2020,Guinea-Bissau
3/28/2020,Puerto Rico
3/31/2020,Northern Mariana Islands
4/1/2020,Botswana
4/1/2020,Burundi
4/1/2020,Sierra Leone
4/3/2020,Malawi
