Date,Total,Cum_Routes
2020-01-21,282,511.0
2020-01-23,581,689.0
2020-01-24,846,861.0
2020-01-25,1320,1115.0
2020-01-26,2014,1260.0
2020-01-27,2798,1669.0
2020-01-28,4593,2014.0
2020-01-29,6065,2163.0
2020-01-30,7818,2549.0
2020-01-31,9826,3012.0
2020-02-01,11953,5411.0
2020-02-05,24544,5630.0
2020-02-15,50580,5730.0
2020-02-20,75748,5776.0
2020-02-22,77794,5875.0
2020-02-24,79331,5939.0
2020-02-25,80239,6114.0
2020-02-26,81109,6851.0
2020-02-27,82294,8103.0
2020-02-28,83652,8724.0
2020-02-29,85403,9166.0
2020-03-01,87137,9629.0
2020-03-02,88948,10233.0
2020-03-03,90869,11545.0
2020-03-04,93090,12109.0
2020-03-05,95324,12246.0
2020-03-06,98192,12423.0
2020-03-07,101927,12607.0
2020-03-08,105592,12917.0
2020-03-09,109577,13031.0
2020-03-10,113702,13291.0
2020-03-11,118319,13387.0
2020-03-12,125260,14089.0
2020-03-13,132758,14209.0
2020-03-14,142539,14602.0
2020-03-15,153523,14733.0
2020-03-16,167502,14969.0
